Мощность на УБМ, dBm	27,000000						
Gate start, ms	50,000000						
Gate lenght, ms	50,000000						
T, ms	100,000000						
Точность подстройки, dBm	0,100000						
Iпот(покоя), mA	350						
Uп, В	28						
Uсм, В							
С калибровкой							
№	f, MHz	P, dBm	IG, mA	ID, A	Gain, dB	КПД, %	Pвых, W
1,000000	500000000,000000	39,382375	-0,000122	0,517985	12,382375	56,352756	8,674361
2,000000	600000000,000000	39,366771	-0,000120	0,493286	12,366771	58,949217	8,643251
3,000000	700000000,000000	39,289049	0,000318	0,499063	12,289049	57,169686	8,489945
4,000000	800000000,000000	39,619725	0,000068	0,538351	12,619725	57,453453	9,161624
5,000000	900000000,000000	39,806788	0,000140	0,549765	12,806788	58,880179	9,564864
6,000000	1000000000,000000	39,812635	-0,000331	0,573374	12,812635	56,536021	9,577750
7,000000	1100000000,000000	39,725522	0,000027	0,572431	12,725522	55,442489	9,387549
8,000000	1200000000,000000	39,374186	-0,000115	0,591105	12,374186	49,283172	8,658021
9,000000	1300000000,000000	39,423717	-0,000419	0,630442	12,423717	46,770689	8,757329
10,000000	1400000000,000000	39,418516	-0,000443	0,643107	12,418516	45,791436	8,746848
11,000000	1500000000,000000	39,348883	-0,000240	0,655046	12,348883	44,198300	8,607724
12,000000	1600000000,000000	39,248171	-0,000295	0,674156	12,248171	41,900098	8,410408
13,000000	1700000000,000000	39,241689	-0,000290	0,666402	12,241689	42,320448	8,397865
14,000000	1800000000,000000	39,514903	-0,000177	0,648678	12,514903	46,478917	8,943145
15,000000	1900000000,000000	39,565972	-0,000596	0,609496	12,565972	50,086721	9,048929
16,000000	2000000000,000000	39,786982	-0,000267	0,611442	12,786982	52,686629	9,521342
17,000000	2100000000,000000	40,005346	-0,000203	0,618950	13,005346	54,880576	10,012318
18,000000	2200000000,000000	39,821392	-0,000316	0,608709	12,821392	53,367602	9,597081
19,000000	2300000000,000000	40,023848	-0,000309	0,651608	13,023848	52,364264	10,055064
20,000000	2400000000,000000	39,888355	-0,000218	0,658211	12,888355	50,163096	9,746203
21,000000	2500000000,000000	39,711281	-0,000325	0,657738	12,711281	48,084855	9,356815
22,000000	2600000000,000000	39,677290	0,000024	0,658620	12,677290	47,624927	9,283868
23,000000	2700000000,000000	39,680582	-0,000088	0,683783	12,680582	45,909095	9,290909
24,000000	2800000000,000000	39,271359	-0,000124	0,701340	12,271359	40,505330	8,455434
25,000000	2900000000,000000	39,118224	-0,000367	0,708811	12,118224	38,602367	8,162486
26,000000	3000000000,000000	39,160229	-0,000140	0,711701	12,160229	38,843721	8,241816
27,000000	3100000000,000000	38,924949	0,000076	0,733935	11,924949	35,552009	7,807193
28,000000	3200000000,000000	38,926094	-0,000013	0,753847	11,926094	34,622693	7,809251
29,000000	3300000000,000000	38,810210	-0,000355	0,746496	11,810210	33,979897	7,603631
30,000000	3400000000,000000	38,516855	-0,000023	0,758794	11,516855	31,091606	7,106986
31,000000	3500000000,000000	38,379342	-0,000496	0,777092	11,379342	29,341486	6,885480
32,000000	3600000000,000000	38,422682	0,000098	0,777909	11,422682	29,627735	6,954537
33,000000	3700000000,000000	38,630037	0,000406	0,771674	11,630037	31,441161	7,294637
34,000000	3800000000,000000	38,663693	-0,000023	0,779159	11,663693	31,399230	7,351388
35,000000	3900000000,000000	38,759873	-0,000353	0,761314	11,759873	32,907506	7,516009
36,000000	4000000000,000000	38,588967	0,000342	0,763505	11,588967	31,456411	7,225979
