Мощность на УБМ, dBm	18,000000						
Gate start, ms	20,000000						
Gate lenght, ms	80,000000						
T, ms	1000,000000						
Точность подстройки, dBm	0,100000						
Iпот(покоя), mA	650						
Uп, В	28						
Uсм, В							
С калибровкой							
№	f, MHz	P, dBm	IG, mA	ID, A	Gain, dB	КПД, %	Pвых, W
1,000000	500000000,000000	33,451363	-0,000256	0,140557	15,451363	5,464716	2,213790
2,000000	600000000,000000	34,914521	-0,000419	0,126957	16,914521	8,544929	3,100646
3,000000	700000000,000000	36,150106	-0,000303	0,114373	18,150106	12,671496	4,121076
4,000000	800000000,000000	36,605950	-0,000326	0,110023	18,605950	14,652927	4,577148
5,000000	900000000,000000	36,992639	-0,000019	0,105608	18,992639	16,706887	5,003385
6,000000	1000000000,000000	37,231855	-0,000222	0,103973	19,231855	17,942915	5,286710
7,000000	1100000000,000000	37,763866	-0,000105	0,104334	19,763866	20,239108	5,975669
8,000000	1200000000,000000	37,954655	-0,000136	0,105675	19,954655	20,889228	6,244037
9,000000	1300000000,000000	38,443050	-0,000332	0,111184	20,443050	22,241520	6,987229
10,000000	1400000000,000000	39,137877	-0,000144	0,119970	21,137877	24,221634	8,199507
11,000000	1500000000,000000	39,810348	-0,000342	0,128021	21,810348	26,529186	9,572708
12,000000	1600000000,000000	40,270125	-0,000197	0,131321	22,270125	28,769750	10,641736
13,000000	1700000000,000000	40,323707	-0,000308	0,134720	22,323707	28,394271	10,773844
14,000000	1800000000,000000	40,554607	-0,000172	0,137759	22,554607	29,293103	11,362154
15,000000	1900000000,000000	40,454893	0,000039	0,140755	22,454893	28,015068	11,104251
16,000000	2000000000,000000	40,776413	-0,000256	0,145138	22,776413	29,268788	11,957524
17,000000	2100000000,000000	40,736191	-0,000220	0,141284	22,736191	29,788588	11,847292
18,000000	2200000000,000000	40,156004	0,000196	0,136658	22,156004	26,925035	10,365743
19,000000	2300000000,000000	39,832607	0,000025	0,133175	21,832607	25,634364	9,621897
20,000000	2400000000,000000	39,305204	-0,000170	0,130168	21,305204	23,207608	8,521584
21,000000	2500000000,000000	39,413639	-0,000276	0,131032	21,413639	23,641836	8,737031
22,000000	2600000000,000000	39,738505	-0,000192	0,132441	21,738505	25,220330	9,415654
23,000000	2700000000,000000	39,668492	-0,000134	0,131931	21,668492	24,910131	9,265081
24,000000	2800000000,000000	39,614784	-0,000271	0,133172	21,614784	24,372738	9,151208
25,000000	2900000000,000000	39,874613	0,000030	0,135966	21,874613	25,353735	9,715414
26,000000	3000000000,000000	39,920593	-0,000414	0,136943	21,920593	25,442657	9,818819
27,000000	3100000000,000000	40,076537	-0,000260	0,140465	22,076537	25,717416	10,177794
28,000000	3200000000,000000	40,021785	-0,000552	0,145063	22,021785	24,588352	10,050288
29,000000	3300000000,000000	39,776710	-0,000172	0,145418	21,776710	23,173970	9,498849
30,000000	3400000000,000000	40,115369	0,000003	0,146555	22,115369	24,871492	10,269207
31,000000	3500000000,000000	40,254878	-0,000122	0,149112	22,254878	25,247959	10,604442
32,000000	3600000000,000000	40,277053	-0,000110	0,151743	22,277053	24,937987	10,658725
33,000000	3700000000,000000	40,392446	-0,000344	0,153139	22,392446	25,379975	10,945726
34,000000	3800000000,000000	40,553835	-0,000021	0,158209	22,553835	25,502064	11,360135
35,000000	3900000000,000000	40,854741	-0,000271	0,167077	22,854741	25,890580	12,175143
36,000000	4000000000,000000	41,033889	-0,000091	0,172948	23,033889	26,070626	12,687876
37,000000	4100000000,000000	41,118541	0,000003	0,179281	23,118541	25,647049	12,937610
38,000000	4200000000,000000	40,914123	-0,000156	0,175702	22,914123	24,960482	12,342761
39,000000	4300000000,000000	40,837985	-0,000167	0,174945	22,837985	24,630589	12,128259
40,000000	4400000000,000000	40,936918	-0,000199	0,176092	22,936918	25,036840	12,407716
41,000000	4500000000,000000	40,866783	-0,000136	0,173688	22,866783	24,974748	12,208951
