Мощность на УБМ, dBm	18,000000						
Gate start, ms	20,000000						
Gate lenght, ms	80,000000						
T, ms	1000,000000						
Точность подстройки, dBm	0,100000						
Iпот(покоя), mA	650						
Uп, В	28						
Uсм, В							
С калибровкой							
№	f, MHz	P, dBm	IG, mA	ID, A	Gain, dB	КПД, %	Pвых, W
1,000000	500000000,000000	33,513217	0,000049	0,140955	15,513217	5,529739	2,245545
2,000000	600000000,000000	34,938403	-0,000213	0,127310	16,938403	8,569235	3,117743
3,000000	700000000,000000	36,204166	0,000018	0,114457	18,204166	12,823242	4,172695
4,000000	800000000,000000	36,624177	-0,000388	0,110013	18,624177	14,716774	4,596399
5,000000	900000000,000000	37,005730	-0,000408	0,105518	19,005730	16,772387	5,018489
6,000000	1000000000,000000	37,236555	0,000224	0,103911	19,236555	17,973242	5,292435
7,000000	1100000000,000000	37,771552	-0,000039	0,104119	19,771552	20,317276	5,986254
8,000000	1200000000,000000	37,939963	0,000035	0,105259	19,939963	20,900258	6,222950
9,000000	1300000000,000000	38,437696	-0,000160	0,110634	20,437696	22,324407	6,978620
10,000000	1400000000,000000	39,122293	-0,000218	0,119502	21,122293	24,228629	8,170136
11,000000	1500000000,000000	39,792282	-0,000013	0,127644	21,792282	26,496352	9,532970
12,000000	1600000000,000000	40,269049	0,000121	0,131258	22,269049	28,776453	10,639100
13,000000	1700000000,000000	40,321244	0,000146	0,134406	22,321244	28,444407	10,767736
14,000000	1800000000,000000	40,564494	0,000026	0,137478	22,564494	29,420088	11,388052
15,000000	1900000000,000000	40,463489	-0,000246	0,140542	22,463489	28,113503	11,126253
16,000000	2000000000,000000	40,779746	-0,000275	0,144840	22,779746	29,351620	11,966706
17,000000	2100000000,000000	40,736565	-0,000291	0,141091	22,736565	29,831912	11,848312
18,000000	2200000000,000000	40,161004	0,000025	0,136476	22,161004	26,992149	10,377682
19,000000	2300000000,000000	39,842827	-0,000076	0,133093	21,842827	25,711003	9,644566
20,000000	2400000000,000000	39,314206	0,000285	0,130008	21,314206	23,284739	8,539266
21,000000	2500000000,000000	39,411911	-0,000195	0,130780	21,411911	23,677870	8,733555
22,000000	2600000000,000000	39,750725	-0,000355	0,132299	21,750725	25,318888	9,442185
23,000000	2700000000,000000	39,674391	0,000070	0,131728	21,674391	24,982727	9,277673
24,000000	2800000000,000000	39,623980	-0,000677	0,132997	21,623980	24,456883	9,170606
25,000000	2900000000,000000	39,878219	-0,000181	0,135577	21,878219	25,447795	9,723485
26,000000	3000000000,000000	39,913406	-0,000347	0,136461	21,913406	25,489902	9,802584
27,000000	3100000000,000000	40,076007	-0,000083	0,140094	22,076007	25,782409	10,176553
28,000000	3200000000,000000	40,025594	-0,000291	0,145107	22,025594	24,602632	10,059107
29,000000	3300000000,000000	39,767722	-0,000242	0,144987	21,767722	23,194548	9,479210
30,000000	3400000000,000000	40,115341	-0,000290	0,146148	22,115341	24,940523	10,269141
31,000000	3500000000,000000	40,248235	-0,000325	0,148877	22,248235	25,248896	10,588233
32,000000	3600000000,000000	40,295223	-0,000174	0,151449	22,295223	25,091757	10,703413
33,000000	3700000000,000000	40,418698	-0,000064	0,153032	22,418698	25,552564	11,012091
34,000000	3800000000,000000	40,561067	-0,000523	0,157870	22,561067	25,599590	11,379069
35,000000	3900000000,000000	40,868761	-0,000403	0,166843	22,868761	26,011304	12,214511
36,000000	4000000000,000000	41,052913	-0,000456	0,172913	23,052913	26,190840	12,743575
37,000000	4100000000,000000	41,142970	-0,000353	0,179271	23,142970	25,793955	13,010589
38,000000	4200000000,000000	40,932515	-0,000425	0,175532	22,932515	25,091190	12,395142
39,000000	4300000000,000000	40,857652	-0,000347	0,174821	22,857652	24,760419	12,183307
40,000000	4400000000,000000	40,952530	-0,000276	0,175814	22,952530	25,167183	12,452397
41,000000	4500000000,000000	40,890987	-0,000261	0,173767	22,890987	25,103556	12,277183
42,000000	4600000000,000000	40,740238	-0,000333	0,174226	22,740238	24,178826	11,858336
43,000000	4700000000,000000	40,590238	-0,000432	0,169685	22,590238	23,978532	11,455756
44,000000	4800000000,000000	40,312879	-0,000120	0,164108	22,312879	23,251131	10,747017
45,000000	4900000000,000000	40,164663	-0,000235	0,161990	22,164663	22,760012	10,386430
46,000000	5000000000,000000	40,139931	-0,000525	0,160708	22,139931	22,810591	10,327451
47,000000	5100000000,000000	39,991157	-0,000011	0,164690	21,991157	21,504826	9,979658
48,000000	5200000000,000000	40,056314	-0,000364	0,173553	22,056314	20,717060	10,130513
49,000000	5300000000,000000	40,021053	-0,000610	0,177815	22,021053	20,056003	10,048594
50,000000	5400000000,000000	39,869246	-0,000076	0,181964	21,869246	18,921158	9,703416
51,000000	5500000000,000000	39,815987	-0,000127	0,185282	21,815987	18,354327	9,585144
52,000000	5600000000,000000	39,758443	-0,000157	0,187380	21,758443	17,908416	9,458979
53,000000	5700000000,000000	39,923216	-0,000625	0,186905	21,923216	18,652775	9,824751
54,000000	5800000000,000000	40,006102	-0,000233	0,184582	22,006102	19,253825	10,014060
55,000000	5900000000,000000	40,023164	0,000037	0,182477	22,023164	19,553144	10,053480
56,000000	6000000000,000000	39,863692	0,000223	0,181620	21,863692	18,932569	9,691013
57,000000	6100000000,000000	39,471449	-0,000466	0,179222	21,471449	17,518221	8,854110
58,000000	6200000000,000000	39,561798	0,000186	0,177043	21,561798	18,109325	9,040236
59,000000	6300000000,000000	39,537387	-0,000160	0,174250	21,537387	18,295709	8,989566
60,000000	6400000000,000000	39,444786	-0,000554	0,171742	21,444786	18,168506	8,799918
61,000000	6500000000,000000	39,598378	-0,000112	0,170395	21,598378	18,976079	9,116702
62,000000	6600000000,000000	39,315087	-0,000489	0,169164	21,315087	17,898752	8,541000
63,000000	6700000000,000000	38,896364	-0,000069	0,167866	20,896364	16,367010	7,755975
64,000000	6800000000,000000	38,742973	-0,000517	0,168464	20,742973	15,738273	7,486818
65,000000	6900000000,000000	38,794320	-0,000235	0,171234	20,794320	15,669358	7,575862
66,000000	7000000000,000000	38,848600	-0,000254	0,174076	20,848600	15,609022	7,671141
67,000000	7100000000,000000	39,094654	-0,000465	0,176860	21,094654	16,266275	8,118306
68,000000	7200000000,000000	39,147133	-0,000245	0,177889	21,147133	16,370398	8,217000
69,000000	7300000000,000000	38,870799	-0,000506	0,178049	20,870799	15,339571	7,710453
70,000000	7400000000,000000	38,718392	-0,000172	0,178772	20,718392	14,746378	7,444563
71,000000	7500000000,000000	38,605470	-0,000495	0,178429	20,605470	14,392267	7,253490
72,000000	7600000000,000000	38,500138	-0,000456	0,179170	20,500138	13,986294	7,079683
73,000000	7700000000,000000	38,626520	-0,000203	0,177618	20,626520	14,528846	7,288732
74,000000	7800000000,000000	38,292220	-0,000219	0,176956	20,292220	13,493358	6,748729
75,000000	7900000000,000000	38,121126	-0,000049	0,177840	20,121126	12,902696	6,488026
76,000000	8000000000,000000	38,129497	0,000287	0,176733	20,129497	13,008809	6,500544
77,000000	8100000000,000000	38,043180	-0,000233	0,175674	20,043180	12,827179	6,372619
78,000000	8200000000,000000	38,110787	-0,000218	0,176318	20,110787	12,982807	6,472599
79,000000	8300000000,000000	38,069767	-0,000066	0,175651	20,069767	12,908439	6,411751
80,000000	8400000000,000000	37,633375	-0,000306	0,175084	19,633375	11,699885	5,798791
81,000000	8500000000,000000	37,530048	-0,000290	0,175723	19,530048	11,380273	5,662455
82,000000	8600000000,000000	37,495442	-0,000047	0,175142	19,495442	11,326360	5,617515
83,000000	8700000000,000000	37,200622	-0,000371	0,175185	19,200622	10,571939	5,248827
