Мощность на УБМ, dBm	18,000000						
Gate start, ms	50,000000						
Gate lenght, ms	50,000000						
T, ms	100,000000						
Точность подстройки, dBm	0,100000						
Iпот(покоя), mA	650						
Uп, В	28						
Uсм, В							
С калибровкой							
№	f, MHz	P, dBm	IG, mA	ID, A	Gain, dB	КПД, %	Pвых, W
1,000000	500000000,000000	32,550301	-0,000079	1,103455	14,550301	5,618394	1,798995
2,000000	600000000,000000	34,532565	0,000034	1,006548	16,532565	9,851559	2,839596
3,000000	700000000,000000	36,034618	-0,000412	0,910576	18,034618	15,491899	4,012932
4,000000	800000000,000000	36,580844	-0,000120	0,885313	18,580844	18,103635	4,550765
5,000000	900000000,000000	37,081288	-0,000251	0,861173	19,081288	20,916106	5,106565
6,000000	1000000000,000000	37,358246	-0,000327	0,856711	19,358246	22,426858	5,442828
7,000000	1100000000,000000	37,902674	-0,000228	0,861220	19,902674	25,323914	6,169747
8,000000	1200000000,000000	38,074785	-0,000156	0,872208	20,074785	26,026195	6,419164
9,000000	1300000000,000000	38,599264	-0,000309	0,932965	20,599264	27,485485	7,243132
10,000000	1400000000,000000	39,303729	0,000112	1,027837	21,303729	29,380686	8,518691
11,000000	1500000000,000000	39,968035	-0,000120	1,116951	21,968035	31,538585	9,926668
12,000000	1600000000,000000	40,380295	-0,000124	1,148249	22,380295	33,753407	10,915144
13,000000	1700000000,000000	40,357689	-0,000297	1,172607	22,357689	32,879671	10,858477
14,000000	1800000000,000000	40,532840	-0,000217	1,201564	22,532840	33,415538	11,305351
15,000000	1900000000,000000	40,408425	-0,000466	1,227954	22,408425	31,768818	10,986075
16,000000	2000000000,000000	40,712799	-0,000465	1,269903	22,712799	32,962453	11,783653
17,000000	2100000000,000000	40,658352	0,000063	1,233104	22,658352	33,520959	11,636845
18,000000	2200000000,000000	40,094539	0,000027	1,186778	22,094539	30,565876	10,220071
19,000000	2300000000,000000	39,832973	-0,000403	1,156481	21,832973	29,521863	9,622708
20,000000	2400000000,000000	39,409995	-0,000576	1,136373	21,409995	27,237695	8,729704
21,000000	2500000000,000000	39,592349	-0,000073	1,151278	21,592349	28,046344	9,104056
22,000000	2600000000,000000	39,824844	-0,000295	1,165597	21,824844	29,235826	9,604713
23,000000	2700000000,000000	39,753907	-0,000223	1,171660	21,753907	28,610230	9,449105
24,000000	2800000000,000000	39,741678	0,000019	1,193263	21,741678	28,012745	9,422537
25,000000	2900000000,000000	40,010311	-0,000110	1,226766	22,010311	28,998048	10,023769
26,000000	3000000000,000000	40,048813	-0,000179	1,242794	22,048813	28,880594	10,113030
27,000000	3100000000,000000	40,141164	-0,000231	1,271898	22,141164	28,830058	10,330383
28,000000	3200000000,000000	40,042496	-0,000302	1,311729	22,042496	27,322803	10,098330
29,000000	3300000000,000000	39,827155	0,000215	1,296584	21,827155	26,296371	9,609825
30,000000	3400000000,000000	40,081468	-0,000009	1,302398	22,081468	27,768170	10,189358
31,000000	3500000000,000000	40,086323	0,000086	1,334319	22,086323	27,134378	10,200755
32,000000	3600000000,000000	40,141989	-0,000290	1,371760	22,141989	26,736384	10,332345
33,000000	3700000000,000000	40,297243	-0,000160	1,392367	22,297243	27,305243	10,708392
34,000000	3800000000,000000	40,408119	-0,000047	1,443858	22,408119	27,016426	10,985301
35,000000	3900000000,000000	40,491103	-0,000316	1,492284	22,491103	26,646898	11,197223
36,000000	4000000000,000000	40,421258	-0,000294	1,494584	22,421258	26,179021	11,018583
37,000000	4100000000,000000	40,291057	-0,000204	1,517984	22,291057	25,009798	10,693150
38,000000	4200000000,000000	40,238355	-0,000073	1,495379	22,238355	25,079821	10,564173
39,000000	4300000000,000000	40,236192	-0,000165	1,492545	22,236192	25,114851	10,558912
40,000000	4400000000,000000	40,284693	-0,000110	1,482123	22,284693	25,577193	10,677492
41,000000	4500000000,000000	40,191923	-0,000134	1,461526	22,191923	25,386220	10,451829
42,000000	4600000000,000000	39,920309	0,000117	1,464172	21,920309	23,794736	9,818179
43,000000	4700000000,000000	39,826766	-0,000031	1,437236	21,826766	23,720805	9,608964
44,000000	4800000000,000000	39,634603	-0,000031	1,387123	21,634603	23,506947	9,193064
45,000000	4900000000,000000	39,399448	-0,000165	1,359383	21,399448	22,713648	8,708530
46,000000	5000000000,000000	39,242917	-0,000393	1,356972	21,242917	21,942625	8,400241
47,000000	5100000000,000000	39,106690	-0,000162	1,416720	21,106690	20,363280	8,140836
48,000000	5200000000,000000	39,275430	-0,000333	1,506866	21,275430	19,909509	8,463363
49,000000	5300000000,000000	39,214932	-0,000211	1,542302	21,214932	19,180945	8,346284
50,000000	5400000000,000000	38,990548	-0,000491	1,573036	20,990548	17,852008	7,926014
51,000000	5500000000,000000	38,885346	-0,000254	1,594099	20,885346	17,191146	7,736323
52,000000	5600000000,000000	38,816119	-0,000144	1,610422	20,816119	16,745588	7,613984
53,000000	5700000000,000000	39,059941	-0,000189	1,612165	21,059941	17,701522	8,053675
54,000000	5800000000,000000	39,214911	-0,000138	1,610220	21,214911	18,371818	8,346245
55,000000	5900000000,000000	39,303943	-0,000348	1,604745	21,303943	18,819222	8,519111
56,000000	6000000000,000000	39,138155	-0,000144	1,601935	21,138155	18,140863	8,200031
57,000000	6100000000,000000	38,792802	0,000092	1,567091	20,792802	17,115688	7,573213
58,000000	6200000000,000000	38,882260	-0,000149	1,534411	20,882260	17,847080	7,730828
59,000000	6300000000,000000	38,873780	-0,000132	1,509783	20,873780	18,102529	7,715748
60,000000	6400000000,000000	38,799779	-0,000180	1,489519	20,799779	18,036243	7,585389
61,000000	6500000000,000000	38,898741	-0,000571	1,490777	20,898741	18,439867	7,760221
62,000000	6600000000,000000	38,651347	-0,000137	1,486495	20,651347	17,460596	7,330519
63,000000	6700000000,000000	38,341060	-0,000171	1,487539	20,341060	16,234762	6,825053
64,000000	6800000000,000000	38,261997	0,000383	1,492282	20,261997	15,888489	6,701927
65,000000	6900000000,000000	38,309329	-0,000047	1,493305	20,309329	16,053254	6,775368
66,000000	7000000000,000000	38,264467	-0,000193	1,491411	20,264467	15,906898	6,705739
67,000000	7100000000,000000	38,388919	0,000140	1,497715	20,388919	16,304799	6,900681
68,000000	7200000000,000000	38,390825	0,000263	1,497769	20,390825	16,311435	6,903709
69,000000	7300000000,000000	38,141882	-0,000227	1,496702	20,141882	15,405333	6,519109
70,000000	7400000000,000000	37,928372	-0,000398	1,493913	19,928372	14,686422	6,206363
71,000000	7500000000,000000	37,806091	-0,000444	1,491233	19,806091	14,300144	6,034053
72,000000	7600000000,000000	37,701125	-0,000139	1,496035	19,701125	13,910259	5,889961
73,000000	7700000000,000000	37,863134	-0,000076	1,480972	19,863134	14,591607	6,113831
74,000000	7800000000,000000	37,571129	-0,000186	1,472276	19,571129	13,713400	5,716272
75,000000	7900000000,000000	37,400878	-0,000475	1,481260	19,400878	13,100392	5,496520
76,000000	8000000000,000000	37,403599	-0,000306	1,471503	19,403599	13,195619	5,499964
77,000000	8100000000,000000	37,234596	0,000019	1,458862	19,234596	12,796062	5,290048
78,000000	8200000000,000000	37,229360	-0,000035	1,459996	19,229360	12,770528	5,283674
79,000000	8300000000,000000	37,144460	0,000035	1,456229	19,144460	12,552706	5,181387
80,000000	8400000000,000000	36,652929	-0,000059	1,447087	18,652929	11,263598	4,626930
81,000000	8500000000,000000	36,468831	-0,000342	1,439998	18,468831	10,842767	4,434893
82,000000	8600000000,000000	36,458429	0,000212	1,440564	18,458429	10,812203	4,424283
83,000000	8700000000,000000	36,221194	-0,000316	1,431168	18,221194	10,296261	4,189087
84,000000	8800000000,000000	36,267661	-0,000316	1,416316	18,267661	10,517859	4,234148
85,000000	8900000000,000000	36,246284	0,000015	1,406714	18,246284	10,536877	4,213358
86,000000	9000000000,000000	36,138672	-0,000274	1,378057	18,138672	10,488749	4,110241
